subset,split,code,script,name,family,words,documents,utf8_bytes,utf8_bytes_human,parquet_bytes,parquet_bytes_human,bible_ratio,wiki_ratio,resource_category
amh_Ethi,train,amh,Ethi,Amharic,Afro-Asiatic,239936286,428373,2675147230,2.49GB,889721130,848.50MB,0.010,0.005,low
lao_Laoo,train,lao,Laoo,Lao,Kra-Dai,189562362,359623,2327641306,2.17GB,591213659,563.83MB,0.000,0.003,low
ltz_Latn,train,ltz,Latn,Luxembourgish,Indo-European,179951556,354553,1051196381,1002.50MB,490695178,467.96MB,0.000,0.063,low
epo_Latn,train,epo,Latn,Esperanto,Constructed language,239172962,335993,1303689462,1.21GB,596021566,568.41MB,0.004,0.241,low
kin_Latn,train,kin,Latn,Kinyarwanda,Niger-Congo,127575978,326120,831837331,793.30MB,368115684,351.06MB,0.008,0.001,low
ars_Arab,train,ars,Arab,Najdi Arabic,Afro-Asiatic,269942711,298167,2376935495,2.21GB,815493355,777.72MB,0.000,0.000,low
fao_Latn,train,fao,Latn,Faroese,Indo-European,101180563,291151,591504161,564.10MB,283315608,270.19MB,0.004,0.043,low
plt_Latn,train,plt,Latn,Plateau Malagasy,Austronesian,164135353,272871,963914602,919.26MB,383534070,365.77MB,0.025,0.052,low
asm_Beng,train,asm,Beng,Assamese,Indo-European,98018336,267371,1489680674,1.39GB,385383719,367.53MB,0.003,0.028,low
snd_Arab,train,snd,Arab,Sindhi,Indo-European,164645639,257843,1274860486,1.19GB,414216896,395.03MB,0.001,0.012,low
xho_Latn,train,xho,Latn,Xhosa,Niger-Congo,115932287,254164,796963469,760.04MB,288937069,275.55MB,0.011,0.001,low
tuk_Latn,train,tuk,Latn,Turkmen,Turkic,97811483,238155,737149133,703.00MB,309580832,295.24MB,0.001,0.020,low
hat_Latn,train,hat,Latn,Haitian,Creole,135191283,224472,657148963,626.71MB,296986097,283.23MB,0.015,0.016,low
gla_Latn,train,gla,Latn,Scottish Gaelic,Indo-European,166633652,222468,935026939,891.71MB,365323466,348.40MB,0.002,0.020,low
ceb_Latn,train,ceb,Latn,Cebuano,Austronesian,132571464,204636,692041428,659.98MB,278729603,265.82MB,0.043,0.091,low
jav_Latn,train,jav,Latn,Javanese,Austronesian,139560458,184561,821367191,783.32MB,331342293,315.99MB,0.009,0.073,low
bak_Cyrl,train,bak,Cyrl,Bashkir,Turkic,79795527,183068,885201808,844.19MB,289949198,276.52MB,0.001,0.056,low
pap_Latn,train,pap,Latn,Papiamento,Creole,107697692,181759,533119171,508.42MB,241405228,230.22MB,0.016,0.010,low
mri_Latn,train,mri,Latn,Maori,Austronesian,121260744,166938,539994062,514.98MB,211571007,201.77MB,0.006,0.004,low
uig_Arab,train,uig,Arab,Uighur,Turkic,89713984,165637,1116620907,1.04GB,329425115,314.16MB,0.001,0.011,low
tat_Cyrl,train,tat,Cyrl,Tatar,Turkic,152282780,161354,1638926006,1.53GB,513155438,489.38MB,0.002,0.018,low
bod_Tibt,train,bod,Tibt,Tibetan,Sino-Tibetan,143822443,161076,2067569611,1.93GB,419509894,400.08MB,0.000,0.005,low
ydd_Hebr,train,ydd,Hebr,Eastern Yiddish,Indo-European,93968521,135116,936578790,893.19MB,271857106,259.26MB,0.000,0.058,low
zul_Latn,train,zul,Latn,Zulu,Niger-Congo,71666844,127335,511054246,487.38MB,218755118,208.62MB,0.023,0.004,low
smo_Latn,train,smo,Latn,Samoan,Austronesian,92230674,110674,426106921,406.37MB,160346297,152.92MB,0.033,0.003,low
sun_Latn,train,sun,Latn,Sundanese,Austronesian,73493619,106542,448575600,427.80MB,186364136,177.73MB,0.004,0.023,low
nya_Latn,train,nya,Latn,Nyanja,Niger-Congo,62633421,103045,417963769,398.60MB,167377220,159.62MB,0.083,0.002,low
ibo_Latn,train,ibo,Latn,Igbo,Niger-Congo,75573291,98785,396446133,378.08MB,150087770,143.13MB,0.034,0.007,low
hin_Latn,train,hin,Latn,Hindi,Indo-European,100975057,97024,517908506,493.92MB,198462618,189.27MB,0.000,0.000,low
sot_Latn,train,sot,Latn,Southern Sotho,Niger-Congo,79270815,92492,385995324,368.11MB,148316962,141.45MB,0.058,0.001,low
lus_Latn,train,lus,Latn,Lushai,Sino-Tibetan,48966586,90564,232200665,221.44MB,102022499,97.30MB,0.005,0.002,low
sna_Latn,train,sna,Latn,Shona,Niger-Congo,51957005,84381,360372257,343.68MB,150215206,143.26MB,0.049,0.017,low
yor_Latn,train,yor,Latn,Yoruba,Niger-Congo,58861990,79999,306731770,292.52MB,122318650,116.65MB,0.045,0.008,low
azb_Arab,train,azb,Arab,South Azerbaijani,Turkic,35478216,79211,349654458,333.46MB,117384424,111.95MB,0.000,0.432,low
run_Latn,train,run,Latn,Rundi,Niger-Congo,22367058,74530,143865820,137.20MB,67705696,64.57MB,0.054,0.001,low
tir_Ethi,train,tir,Ethi,Tigrinya,Afro-Asiatic,35040995,72033,376757819,359.30MB,130693411,124.64MB,0.027,0.004,low
ast_Latn,train,ast,Latn,Asturian,Indo-European,47574503,71329,274911002,262.18MB,124666256,118.89MB,0.000,0.228,low
apc_Arab,train,apc,Arab,Levantine Arabic,Afro-Asiatic,19512279,69740,173710729,165.66MB,65179126,62.16MB,0.000,0.000,low
oci_Latn,train,oci,Latn,Occitan (post 1500),Indo-European,36169698,69376,197203492,188.07MB,93206828,88.89MB,0.000,0.185,low
urd_Latn,train,urd,Latn,Urdu,Indo-European,57810059,69321,288087232,274.74MB,128884719,122.91MB,0.003,0.000,low
gaz_Latn,train,gaz,Latn,West Central Oromo,Afro-Asiatic,19241747,47883,134350699,128.13MB,58023336,55.34MB,0.000,0.010,low
lim_Latn,train,lim,Latn,Limburgan,Indo-European,16257384,37165,90534671,86.34MB,46108211,43.97MB,0.000,0.241,low
lug_Latn,train,lug,Latn,Ganda,Niger-Congo,12318633,35503,82898772,79.06MB,38328734,36.55MB,0.081,0.005,low
crh_Latn,train,crh,Latn,Crimean Tatar,Turkic,14963410,31873,102624218,97.87MB,40805093,38.91MB,0.000,0.027,low
srd_Latn,train,srd,Latn,Sardinian,Indo-European,12753682,26072,69299310,66.09MB,32694576,31.18MB,0.000,0.110,low
fur_Latn,train,fur,Latn,Friulian,Indo-European,13349171,22921,66155208,63.09MB,30782161,29.36MB,0.000,0.088,low
mai_Deva,train,mai,Deva,Maithili,Indo-European,14026766,22787,175515481,167.38MB,47074596,44.89MB,0.005,0.026,low
lin_Latn,train,lin,Latn,Lingala,Niger-Congo,11233848,21473,60739787,57.93MB,26821948,25.58MB,0.169,0.034,low
san_Deva,train,san,Deva,Sanskrit,Indo-European,16945617,21453,350803610,334.55MB,88005869,83.93MB,0.010,0.291,low
ilo_Latn,train,ilo,Latn,Iloko,Austronesian,9434558,21304,52500508,50.07MB,22599274,21.55MB,0.147,0.117,low
aeb_Arab,train,aeb,Arab,Tunisian Arabic,Afro-Asiatic,9889783,19979,87991343,83.92MB,32163422,30.67MB,0.015,0.000,low
dzo_Tibt,train,dzo,Tibt,Dzongkha,Sino-Tibetan,9948273,19239,144543424,137.85MB,30521086,29.11MB,0.001,0.010,low
shn_Mymr,train,shn,Mymr,Shan,Kra-Dai,3981060,19218,126345158,120.49MB,24274554,23.15MB,0.013,0.494,low
bho_Deva,train,bho,Deva,Bhojpuri,Indo-European,8036065,18467,92372931,88.09MB,25417218,24.24MB,0.000,0.069,low
fij_Latn,train,fij,Latn,Fijian,Austronesian,10933833,15331,50193257,47.87MB,19192661,18.30MB,0.434,0.033,low
lmo_Latn,train,lmo,Latn,Lombard,Indo-European,11839181,15040,56449402,53.83MB,27495262,26.22MB,0.000,0.573,low
scn_Latn,train,scn,Latn,Sicilian,Indo-European,5733435,13216,30611824,29.19MB,15500181,14.78MB,0.000,0.353,low
hne_Deva,train,hne,Deva,Chhattisgarhi,Indo-European,7630943,12826,78785061,75.14MB,21534180,20.54MB,0.093,0.000,low
kab_Latn,train,kab,Latn,Kabyle,Afro-Asiatic,5946346,11541,28729442,27.40MB,14583640,13.91MB,0.020,0.221,low
ben_Latn,train,ben,Latn,Bengali,Indo-European,15023313,10458,80699703,76.96MB,32545716,31.04MB,0.000,0.000,low
ltg_Latn,train,ltg,Latn,Latgalian,Indo-European,5252618,10010,32321727,30.82MB,15924791,15.19MB,0.000,0.023,low
ban_Latn,train,ban,Latn,Balinese,Austronesian,9946735,9233,57349495,54.69MB,21076800,20.10MB,0.032,0.143,low
kac_Latn,train,kac,Latn,Kachin,Sino-Tibetan,5983052,7493,26466558,25.24MB,8936522,8.52MB,0.094,0.000,low
acm_Arab,train,acm,Arab,Mesopotamian Arabic,Afro-Asiatic,3239565,7382,29073697,27.73MB,10671966,10.18MB,0.000,0.000,low
kik_Latn,train,kik,Latn,Kikuyu,Niger-Congo,722464,7292,4384691,4.18MB,2222482,2.12MB,0.000,0.002,low
ewe_Latn,train,ewe,Latn,Ewe,Niger-Congo,8152713,6973,39559156,37.73MB,16209788,15.46MB,0.888,0.014,low
tso_Latn,train,tso,Latn,Tsonga,Niger-Congo,6786420,6906,34932753,33.31MB,12829095,12.23MB,0.740,0.014,low
wol_Latn,train,wol,Latn,Wolof,Niger-Congo,3821770,6621,19017020,18.14MB,9563351,9.12MB,0.062,0.144,low
nso_Latn,train,nso,Latn,Pedi,Niger-Congo,6428696,6444,30270070,28.87MB,11594761,11.06MB,0.667,0.013,low
tsn_Latn,train,tsn,Latn,Tswana,Niger-Congo,6164289,6129,28692609,27.36MB,11094358,10.58MB,0.577,0.044,low
twi_Latn,train,twi,Latn,Twi,Atlantic-Congo,5881761,6023,33003790,31.47MB,14834674,14.15MB,0.833,0.037,low
vec_Latn,train,vec,Latn,Venetian,Indo-European,2376573,5774,12153631,11.59MB,5782931,5.52MB,0.000,0.547,low
szl_Latn,train,szl,Latn,Silesian,Indo-European,3744369,5718,20830301,19.87MB,10993691,10.48MB,0.000,0.150,low
lij_Latn,train,lij,Latn,Ligurian,Indo-European,2492976,5503,13925218,13.28MB,5783725,5.52MB,0.000,0.810,low
tpi_Latn,train,tpi,Latn,Tok Pisin,Creole,3020310,4711,15675056,14.95MB,5300587,5.06MB,0.437,0.022,low
sag_Latn,train,sag,Latn,Sango,Creole,4816892,4428,19959041,19.03MB,6927034,6.61MB,0.895,0.022,low
mni_Beng,train,mni,Beng,Manipuri,Sino-Tibetan,2688747,3405,42344976,40.38MB,9886501,9.43MB,0.002,0.001,low
ayr_Latn,train,ayr,Latn,Central Aymara,Aymaran,1705732,3395,11492144,10.96MB,5073317,4.84MB,0.039,0.205,low
ace_Latn,train,ace,Latn,Achinese,Austronesian,2454325,2982,13810487,13.17MB,5089329,4.85MB,0.405,0.179,low
quy_Latn,train,quy,Latn,Ayacucho Quechua,Quechuan,1280177,2903,8685023,8.28MB,3788785,3.61MB,0.075,0.617,low
kea_Latn,train,kea,Latn,Kabuverdianu,Creole,2448309,2880,11007256,10.50MB,5058045,4.82MB,0.175,0.001,low
dyu_Latn,train,dyu,Latn,Dyula,Niger-Congo,1364581,2752,5989252,5.71MB,2250070,2.15MB,0.972,0.000,low
tzm_Tfng,train,tzm,Tfng,Central Atlas Tamazight,Afro-Asiatic,965408,2736,12129981,11.57MB,3383434,3.23MB,0.000,0.194,low
pag_Latn,train,pag,Latn,Pangasinan,Austronesian,1670804,2712,8788780,8.38MB,3577831,3.41MB,0.698,0.058,low
luo_Latn,train,luo,Latn,Luo (Kenya and Tanzania),Nilo-Saharan,1969599,2698,9703111,9.25MB,4063651,3.88MB,0.490,0.005,low
bam_Latn,train,bam,Latn,Bambara,Niger-Congo,901084,2573,4614079,4.40MB,2053458,1.96MB,0.003,0.033,low
npi_Latn,train,npi,Latn,Nepali (individual language),Indo-European,1882112,2476,11157712,10.64MB,4418851,4.21MB,0.000,0.000,low
lua_Latn,train,lua,Latn,Luba-Lulua,Niger-Congo,2702483,2332,14887137,14.20MB,5365356,5.12MB,0.835,0.000,low
bjn_Latn,train,bjn,Latn,Banjar,Austronesian,1058358,2323,6026084,5.75MB,2607591,2.49MB,0.003,0.424,low
mos_Latn,train,mos,Latn,Mossi,Niger-Congo,2708790,2240,11474306,10.94MB,4620700,4.41MB,0.588,0.012,low
war_Latn,train,war,Latn,Waray (Philippines),Austronesian,749723,2223,4037242,3.85MB,1739996,1.66MB,0.092,0.091,low
ssw_Latn,train,ssw,Latn,Swati,Niger-Congo,1461112,2115,10574317,10.08MB,4166780,3.97MB,0.384,0.077,low
arb_Latn,train,arb,Latn,Standard Arabic,Afro-Asiatic,1717224,1965,10755618,10.26MB,4558351,4.35MB,0.001,0.001,low
sat_Olck,train,sat,Olck,Santali,Austro-Asiatic,830551,1928,11302562,10.78MB,2827750,2.70MB,0.000,0.787,low
awa_Deva,train,awa,Deva,Awadhi,Indo-European,1044440,1902,11273704,10.75MB,3092247,2.95MB,0.102,0.060,low
bem_Latn,train,bem,Latn,Bemba (Zambia),Niger-Congo,1484866,1787,8577988,8.18MB,3378773,3.22MB,0.835,0.001,low
bjn_Arab,train,bjn,Arab,Banjar,Austronesian,1201949,1652,11621757,11.08MB,3182571,3.04MB,0.000,0.008,low
fon_Latn,train,fon,Latn,Fon,Niger-Congo,1434180,1639,6865317,6.55MB,2591213,2.47MB,0.673,0.081,low
kam_Latn,train,kam,Latn,Kamba (Kenya),Niger-Congo,695653,1438,4086814,3.90MB,1595127,1.52MB,0.499,0.000,low
umb_Latn,train,umb,Latn,Umbundu,Niger-Congo,1090820,1315,5608334,5.35MB,2071945,1.98MB,0.958,0.000,low
kbp_Latn,train,kbp,Latn,Kabiyè,Niger-Congo,412455,1308,2439980,2.33MB,998269,974.87KB,0.164,0.799,low
kmb_Latn,train,kmb,Latn,Kimbundu,Niger-Congo,1234062,1306,5662732,5.40MB,2072419,1.98MB,0.956,0.001,low
fuv_Latn,train,fuv,Latn,Nigerian Fulfulde,Niger-Congo,507948,956,2857811,2.73MB,1309673,1.25MB,0.007,0.054,low
dik_Latn,train,dik,Latn,Southwestern Dinka,Nilo-Saharan,465207,821,2391536,2.28MB,975823,952.95KB,0.295,0.189,low
min_Latn,train,min,Latn,Minangkabau,Austronesian,457476,557,2546877,2.43MB,950434,928.16KB,0.000,0.223,low
tum_Latn,train,tum,Latn,Tumbuka,Niger-Congo,134049,516,875336,854.82KB,363638,355.12KB,0.680,0.062,low
taq_Latn,train,taq,Latn,Tamasheq,Afro-Asiatic,573379,442,2516396,2.40MB,993200,969.92KB,0.839,0.000,low
kas_Arab,train,kas,Arab,Kashmiri,Indo-European,155586,260,1371498,1.31MB,411820,402.17KB,0.000,0.592,low
mag_Deva,train,mag,Deva,Magahi,Indo-European,401171,254,4300652,4.10MB,1118519,1.07MB,0.004,0.039,low
knc_Latn,train,knc,Latn,Central Kanuri,Nilo-Saharan,48390,220,278428,271.90KB,134591,131.44KB,0.000,0.336,low
nus_Latn,train,nus,Latn,Nuer,Nilo-Saharan,100952,130,498427,486.75KB,196910,192.29KB,0.031,0.000,low
taq_Tfng,train,taq,Tfng,Tamasheq,Afro-Asiatic,63652,116,807915,788.98KB,209519,204.61KB,0.000,0.060,low
kas_Deva,train,kas,Deva,Kashmiri,Indo-European,317407,99,1863447,1.78MB,614859,600.45KB,0.010,0.121,low
bug_Latn,train,bug,Latn,Buginese,Austronesian,33054,32,233287,227.82KB,103969,101.53KB,0.000,0.156,low
cjk_Latn,train,cjk,Latn,Chokwe,Niger-Congo,14075,24,78103,76.27KB,39064,38.15KB,0.542,0.000,low
english,train,eng,Latn,English,Indo-European,17028226270,130879964,230161529203,21.44TB,73396452648,68.32GB,0.000,0.000,high
